repo_url,registry_source,category,language,stars,last_commit_date
https://github.com/Braffolk/mcp-summarization-functions,mcp-first-glance,mined,TypeScript,19,
https://github.com/BrockReece/whimsical-mcp-server,mcp-first-glance,mined,TypeScript,6,
https://github.com/Buga-luga/cursor-mcp,mcp-first-glance,mined,TypeScript,31,
https://github.com/BurtTheCoder/mcp-dnstwist,mcp-first-glance,mined,JavaScript,6,
https://github.com/BurtTheCoder/mcp-maigret,mcp-first-glance,mined,JavaScript,24,
https://github.com/CLOUDWERX-DEV/DiffuGen,mcp-first-glance,mined,Shell,3,
https://github.com/CalvinMagezi/mts-mcp,mcp-first-glance,mined,TypeScript,5,
https://github.com/Cam10001110101/mcp-server-browser-use-ollama,mcp-first-glance,mined,Python,0,
https://github.com/Cam10001110101/mcp-server-obsidian-jsoncanvas,mcp-first-glance,mined,Python,1,
https://github.com/Cam10001110101/mcp-server-private-user-context,mcp-first-glance,mined,TypeScript,0,
https://github.com/CamdenClark/jira-mcp,mcp-first-glance,mined,JavaScript,17,
https://github.com/CaptainCrouton89/mcp-maker,mcp-first-glance,mined,TypeScript,1,
https://github.com/CaptainCrouton89/requirements-gathering,mcp-first-glance,mined,TypeScript,0,
https://github.com/CartographAI/mcp-server-codegraph,mcp-first-glance,mined,JavaScript,0,
https://github.com/CartographAI/sherpa,mcp-first-glance,mined,Svelte,10,
https://github.com/ChanMeng666/server-google-news,mcp-first-glance,mined,JavaScript,18,
https://github.com/Chandram-Dutta/mcp_example,mcp-first-glance,mined,Python,0,
https://github.com/CheMiguel23/MemoryMesh,mcp-first-glance,mined,TypeScript,94,
https://github.com/Cheffromspace/MCPControl,mcp-first-glance,mined,TypeScript,14,
https://github.com/ChrisBellew/code-ferret,mcp-first-glance,mined,TypeScript,1,
https://github.com/ChristianHinge/dicom-mcp,mcp-first-glance,community,Python,3,
https://github.com/ChristophEnglisch/keycloak-model-context-protocol,mcp-first-glance,community,TypeScript,18,
https://github.com/ChronulusAI/chronulus-mcp,mcp-first-glance,official,Python,20,
https://github.com/Chrusic/todoist-mcp-server-extended,mcp-first-glance,mined,JavaScript,11,
https://github.com/CircleCI-Public/mcp-server-circleci,mcp-first-glance,official,TypeScript,12,
https://github.com/Cizimy/Noah_proto,mcp-first-glance,mined,Python,0,
https://github.com/ClarifiedLabs/mcp-servers,mcp-first-glance,mined,TypeScript,0,
https://github.com/ClickHouse/mcp-clickhouse,mcp-first-glance,official,Python,156,
https://github.com/CodeLogicIncEngineering/codelogic-mcp-server,mcp-first-glance,official,Python,4,
https://github.com/CoderGamester/mcp-unity,mcp-first-glance,community,C#,76,
https://github.com/Coding-Solo/godot-mcp,mcp-first-glance,community,JavaScript,29,
https://github.com/ConechoAI/openai-websearch-mcp,mcp-first-glance,community,Python,34,
https://github.com/ConsolesAI/consoles-ai,mcp-first-glance,mined,JavaScript,24,
https://github.com/CopilotKit/open-mcp-client,mcp-first-glance,mined,TypeScript,781,
https://github.com/DMontgomery40/deepseek-mcp-server,mcp-first-glance,community,JavaScript,197,
https://github.com/DMontgomery40/mcp-3D-printer-server,mcp-first-glance,mined,TypeScript,12,
https://github.com/DMontgomery40/mcp-canvas-lms,mcp-first-glance,mined,JavaScript,1,
https://github.com/DMontgomery40/meta-mcp-server,mcp-first-glance,mined,JavaScript,7,
https://github.com/DTeam-Top/tsw-cli,mcp-first-glance,mined,Python,8,
https://github.com/DXHeroes/mcp-devtools,mcp-first-glance,mined,TypeScript,6,
https://github.com/DaInfernalCoder/perplexity-mcp,mcp-first-glance,mined,JavaScript,139,
https://github.com/DaInfernalCoder/unsplash-server,mcp-first-glance,mined,JavaScript,0,
https://github.com/DaleLJefferson/mcp,mcp-first-glance,mined,JavaScript,0,
https://github.com/Daniel1989/mcp-server-cloud,mcp-first-glance,mined,Python,0,
https://github.com/DanielRSnell/postgres-mcp,mcp-first-glance,mined,JavaScript,0,
https://github.com/DaoCLI/daoCLI-init,mcp-first-glance,mined,TypeScript,1,
https://github.com/Daotin/mcp-demo,mcp-first-glance,mined,JavaScript,0,
https://github.com/DappierAI/dappier-mcp,mcp-first-glance,community,Python,1,
https://github.com/Dataring-engineering/mcp-server-trino,mcp-first-glance,mined,Python,6,
https://github.com/Davidyz/VectorCode,mcp-first-glance,mined,Python,161,
https://github.com/DawitSishu/MCP,mcp-first-glance,mined,TypeScript,0,
https://github.com/DeDeveloper23/codebase-mcp,mcp-first-glance,mined,TypeScript,6,
https://github.com/Dhravya/mcp-durable-object-client,mcp-first-glance,mined,TypeScript,50,
https://github.com/DumoeDss/mcp-server-software,mcp-first-glance,mined,Python,2,
https://github.com/DynamicEndpoints/Automated-BOD-25-01-CISA-Microsoft-Policies-MCP,mcp-first-glance,mined,JavaScript,2,
https://github.com/DynamicEndpoints/Netlify-MCP-Server,mcp-first-glance,mined,JavaScript,2,
https://github.com/DynamicEndpoints/cloudflare-github-backup-mcp,mcp-first-glance,mined,JavaScript,0,
https://github.com/DynamicEndpoints/huntress-mcp-server,mcp-first-glance,mined,JavaScript,1,
https://github.com/DynamicEndpoints/supabase-mcp,mcp-first-glance,mined,JavaScript,36,
https://github.com/EGAdams/the_function_caller,mcp-first-glance,mined,Python,1,
https://github.com/ESnark/blowback,mcp-first-glance,mined,TypeScript,3,
https://github.com/ETdoFresh/ModelContextProtocol,mcp-first-glance,mined,TypeScript,0,
https://github.com/ETdoFresh/cline-dev-et,mcp-first-glance,mined,TypeScript,0,
https://github.com/EasyLLM/mcp-rag,mcp-first-glance,mined,Python,0,
https://github.com/Ebotian/ebotian_blog,mcp-first-glance,mined,Python,0,
https://github.com/Eddydpyl/sketchfab_mcp,mcp-first-glance,mined,Python,0,
https://github.com/EduBase/MCP,mcp-first-glance,official,TypeScript,3,
https://github.com/Ejb503/multimodal-mcp-client,mcp-first-glance,mined,TypeScript,142,
https://github.com/Ejb503/systemprompt-mcp-interview,mcp-first-glance,mined,TypeScript,1,
https://github.com/Ejb503/systemprompt-mcp-notion,mcp-first-glance,mined,TypeScript,13,
https://github.com/EnesCinr/market-fiyatlari-mcp-server,mcp-first-glance,mined,JavaScript,4,
https://github.com/EnesCinr/twitter-mcp,mcp-first-glance,community,TypeScript,180,
https://github.com/EvanJonQiu/mcp-example,mcp-first-glance,mined,Python,0,
https://github.com/ExactDoug/mcp-fetch,mcp-first-glance,mined,Python,1,
https://github.com/EyevinnOSC/mcp-server,mcp-first-glance,mined,TypeScript,5,
https://github.com/Fallomai/spinai,mcp-first-glance,mined,TypeScript,295,
https://github.com/Fewsats/fewsats-mcp,mcp-first-glance,official,Python,10,
https://github.com/Fewsats/fewsats-python,mcp-first-glance,mined,Jupyter Notebook,4,
